,No. of Bedrooms,price_lack,price_per_square,city_Encoded,location_Encoded,cities,locations
5809,3.0,8589000,5250.0,3,247,Hyderabad,Nagole
5820,3.0,10300000,4790.697674418605,3,399,Hyderabad,Tellapur
5823,2.0,5784000,4800.0,3,224,Hyderabad,Manikonda
5829,3.0,7872000,4699.701492537313,3,31,Hyderabad,Bachupally
5830,3.0,8903000,5800.0,3,188,Hyderabad,Kokapet
5840,3.0,12000000,7741.935483870968,3,375,Hyderabad,Shaikpet
5843,4.0,28200000,8057.142857142857,3,134,Hyderabad,Hitech City
5844,2.0,3700000,3700.0,3,247,Hyderabad,Nagole
5854,3.0,14500000,7975.797579757976,3,318,Hyderabad,Sanath Nagar
5856,3.0,9073000,4998.8980716253445,3,188,Hyderabad,Kokapet
5858,2.0,6344000,5200.0,3,263,Hyderabad,Nizampet
5859,3.0,8580000,5200.0,3,263,Hyderabad,Nizampet
5860,3.0,8736000,5200.0,3,263,Hyderabad,Nizampet
5861,3.0,8086000,5200.0,3,263,Hyderabad,Nizampet
5862,3.0,8762000,5200.0,3,263,Hyderabad,Nizampet
5863,3.0,7904000,5200.0,3,263,Hyderabad,Nizampet
5864,2.0,6370000,5200.0,3,263,Hyderabad,Nizampet
5865,3.0,9334000,5200.0,3,263,Hyderabad,Nizampet
5866,2.0,7462000,5200.0,3,263,Hyderabad,Nizampet
5867,2.0,7436000,5200.0,3,263,Hyderabad,Nizampet
5868,2.0,6578000,5200.0,3,263,Hyderabad,Nizampet
5869,3.0,10400000,5000.0,3,224,Hyderabad,Manikonda
5870,3.0,10400000,4971.31931166348,3,224,Hyderabad,Manikonda
5871,2.0,6850000,5000.0,3,224,Hyderabad,Manikonda
5872,3.0,11100000,4973.118279569892,3,224,Hyderabad,Manikonda
5873,3.0,10300000,4992.729035385361,3,224,Hyderabad,Manikonda
5874,2.0,7000000,5000.0,3,224,Hyderabad,Manikonda
5875,3.0,9325000,5000.0,3,224,Hyderabad,Manikonda
5876,3.0,11299999,4977.973127753304,3,224,Hyderabad,Manikonda
5877,3.0,9480000,5000.0,3,224,Hyderabad,Manikonda
5878,4.0,25600000,8446.057406796437,3,134,Hyderabad,Hitech City
5891,3.0,7100000,4522.292993630574,3,399,Hyderabad,Tellapur
5892,3.0,9900000,6305.732484076433,3,399,Hyderabad,Tellapur
5893,3.0,9900000,4419.642857142857,3,399,Hyderabad,Tellapur
5894,3.0,9900000,4419.642857142857,3,399,Hyderabad,Tellapur
5912,3.0,8903000,5800.0,3,188,Hyderabad,Kokapet
5913,4.0,20200000,5976.331360946746,3,188,Hyderabad,Kokapet
5914,4.0,20200000,5976.331360946746,3,188,Hyderabad,Kokapet
5915,3.0,10800000,5760.0,3,188,Hyderabad,Kokapet
5916,3.0,10800000,5760.0,3,188,Hyderabad,Kokapet
5917,3.0,15200000,5984.251968503937,3,188,Hyderabad,Kokapet
5918,3.0,15200000,5984.251968503937,3,188,Hyderabad,Kokapet
5919,4.0,15200000,5779.467680608365,3,188,Hyderabad,Kokapet
5920,4.0,15200000,5779.467680608365,3,188,Hyderabad,Kokapet
5922,4.0,21500000,6360.94674556213,3,188,Hyderabad,Kokapet
5924,3.0,10000000,5580.357142857143,3,399,Hyderabad,Tellapur
5925,3.0,9500000,5678.421996413628,3,399,Hyderabad,Tellapur
5926,3.0,10700000,6426.426426426427,3,257,Hyderabad,Narsingi
5927,3.0,10700000,6524.390243902439,3,257,Hyderabad,Narsingi
