,No. of Bedrooms,price_lack,price_per_square,city_Encoded,location_Encoded,cities,locations
0,4.0,30000000,8982.035928143712,0,144,Banglore,JP Nagar Phase 1
2,3.0,6845000,4098.802395209581,0,180,Banglore,Kengeri
3,2.0,6797000,5571.311475409836,0,136,Banglore,Horamavu
4,4.0,20000000,7993.605115907274,0,405,Banglore,Thanisandra
5,3.0,7105000,4940.8901251738525,0,306,Banglore,Ramamurthy Nagar
6,3.0,8405000,5982.20640569395,0,439,Banglore,Whitefield Hope Farm Junction
7,1.0,3506000,5312.121212121212,0,102,Banglore,Electronic City Phase 1
8,2.0,7700000,5653.45080763583,0,444,Banglore,Yelahanka
9,3.0,9369000,5400.0,0,19,Banglore,Anjanapura
10,3.0,8716000,5533.9682539682535,0,151,Banglore,Jalahalli
13,2.0,5080000,4000.0,0,61,Banglore,Bommasandra
14,3.0,7209999,5499.6178489702515,0,53,Banglore,Bellandur
16,4.0,30000000,8982.035928143712,0,144,Banglore,JP Nagar Phase 1
18,3.0,6845000,4098.802395209581,0,180,Banglore,Kengeri
19,2.0,6797000,5571.311475409836,0,136,Banglore,Horamavu
20,4.0,20000000,7993.605115907274,0,405,Banglore,Thanisandra
21,3.0,7105000,4940.8901251738525,0,306,Banglore,Ramamurthy Nagar
22,3.0,8405000,5982.20640569395,0,439,Banglore,Whitefield Hope Farm Junction
23,1.0,3506000,5312.121212121212,0,102,Banglore,Electronic City Phase 1
24,2.0,7700000,5653.45080763583,0,444,Banglore,Yelahanka
25,3.0,9369000,5400.0,0,19,Banglore,Anjanapura
26,3.0,8716000,5533.9682539682535,0,151,Banglore,Jalahalli
29,2.0,5080000,4000.0,0,61,Banglore,Bommasandra
30,3.0,7209999,5499.6178489702515,0,53,Banglore,Bellandur
32,3.0,12400000,7272.727272727273,0,439,Banglore,Whitefield Hope Farm Junction
33,2.0,4900000,4128.053917438921,0,50,Banglore,Begur
34,4.0,30000000,8982.035928143712,0,144,Banglore,JP Nagar Phase 1
36,3.0,6845000,4098.802395209581,0,180,Banglore,Kengeri
37,2.0,6797000,5571.311475409836,0,136,Banglore,Horamavu
38,4.0,20000000,7993.605115907274,0,405,Banglore,Thanisandra
39,3.0,7105000,4940.8901251738525,0,306,Banglore,Ramamurthy Nagar
40,3.0,8405000,5982.20640569395,0,439,Banglore,Whitefield Hope Farm Junction
41,1.0,3506000,5312.121212121212,0,102,Banglore,Electronic City Phase 1
42,2.0,7700000,5653.45080763583,0,444,Banglore,Yelahanka
43,3.0,9369000,5400.0,0,19,Banglore,Anjanapura
44,3.0,8716000,5533.9682539682535,0,151,Banglore,Jalahalli
47,2.0,5080000,4000.0,0,61,Banglore,Bommasandra
48,3.0,7209999,5499.6178489702515,0,53,Banglore,Bellandur
50,3.0,12400000,7272.727272727273,0,439,Banglore,Whitefield Hope Farm Junction
51,2.0,4900000,4128.053917438921,0,50,Banglore,Begur
52,2.0,5080000,4000.0,0,61,Banglore,Bommasandra
53,3.0,9458000,5479.721900347625,0,137,Banglore,Hosa Road
54,4.0,23700000,9595.141700404858,0,314,Banglore,Sahakar Nagar
55,3.0,7363000,4689.8089171974525,0,163,Banglore,Kadugodi
57,3.0,4216000,2799.468791500664,0,154,Banglore,Jigani
58,2.0,4368000,4200.0,0,205,Banglore,Krishnarajapura
60,2.0,4545000,4349.282296650717,0,136,Banglore,Horamavu
61,3.0,23100000,9314.516129032258,0,38,Banglore,Banashankari
62,2.0,8000000,6896.551724137931,0,301,Banglore,RR Nagar
63,2.0,4514000,3949.2563429571305,0,301,Banglore,RR Nagar
64,2.0,5460000,4200.0,0,301,Banglore,RR Nagar
66,2.0,8868000,7122.891566265061,0,50,Banglore,Begur
67,2.0,6133000,4810.196078431372,0,306,Banglore,Ramamurthy Nagar
68,2.0,3038000,2800.0,0,24,Banglore,Attibele
70,2.0,7506999,6499.566233766233,0,39,Banglore,Banaswadi
71,3.0,6520000,5000.0,0,439,Banglore,Whitefield Hope Farm Junction
72,2.0,6389000,5704.464285714285,0,186,Banglore,Kodigehalli
76,2.0,4264000,3848.375451263538,0,205,Banglore,Krishnarajapura
81,2.0,6151000,4381.054131054131,0,103,Banglore,Electronic City Phase 2
82,2.0,5426000,5024.074074074074,0,50,Banglore,Begur
85,3.0,4604000,2989.6103896103896,0,255,Banglore,Narayanaghatta
86,3.0,3607000,3249.5495495495497,0,18,Banglore,Anekal City
87,3.0,16500000,10030.395136778116,0,314,Banglore,Sahakar Nagar
88,3.0,4840000,3598.5130111524163,0,322,Banglore,Sarjapur
89,3.0,25800000,13826.36655948553,0,199,Banglore,Koramangala
90,3.0,51000000,14571.42857142857,0,130,Banglore,Hebbal
91,2.0,4809000,4200.0,0,102,Banglore,Electronic City Phase 1
92,2.0,5070000,5422.459893048128,0,67,Banglore,Budigere Cross
93,3.0,10500000,7216.494845360825,0,60,Banglore,Bommanahalli
95,3.0,5559000,3400.0,0,439,Banglore,Whitefield Hope Farm Junction
96,2.0,4723000,4124.890829694323,0,301,Banglore,RR Nagar
98,2.0,8954000,7363.486842105263,0,419,Banglore,Varthur
101,2.0,8784000,6867.865519937451,0,187,Banglore,Kogilu
102,2.0,7900000,6694.9152542372885,0,259,Banglore,Nayandahalli
103,3.0,4781000,3649.618320610687,0,103,Banglore,Electronic City Phase 2
104,3.0,15000000,8445.945945945947,0,57,Banglore,Bilekahalli
105,2.0,4700000,4177.777777777777,0,136,Banglore,Horamavu
107,2.0,6487000,5099.842767295598,0,405,Banglore,Thanisandra
108,3.0,14000000,6451.612903225807,0,160,Banglore,Junnasandra
112,2.0,4545000,4349.282296650717,0,136,Banglore,Horamavu
113,3.0,22000000,12002.182214948172,0,142,Banglore,ITPL
115,2.0,3779999,4199.998888888889,0,206,Banglore,Kudlu
116,2.0,8954000,7363.486842105263,0,419,Banglore,Varthur
117,3.0,25800000,13826.36655948553,0,199,Banglore,Koramangala
118,2.0,8954000,7363.486842105263,0,419,Banglore,Varthur
119,3.0,8218000,5460.46511627907,0,103,Banglore,Electronic City Phase 2
120,3.0,8656000,5762.982689747004,0,150,Banglore,Jakkur
122,3.0,11000000,6094.182825484764,0,50,Banglore,Begur
123,3.0,11399999,6063.829255319149,0,50,Banglore,Begur
124,4.0,13000000,5963.302752293578,0,50,Banglore,Begur
125,3.0,11299999,6108.1075675675675,0,50,Banglore,Begur
134,2.0,4722000,4098.958333333333,0,180,Banglore,Kengeri
135,2.0,4586000,4098.302055406613,0,180,Banglore,Kengeri
136,2.0,4582000,4098.389982110913,0,180,Banglore,Kengeri
137,3.0,6787000,4098.429951690821,0,180,Banglore,Kengeri
138,3.0,9319000,5720.687538367097,0,136,Banglore,Horamavu
139,2.0,6892000,5571.544058205335,0,136,Banglore,Horamavu
140,2.0,9277000,7276.078431372549,0,60,Banglore,Bommanahalli
141,3.0,11600000,7182.66253869969,0,60,Banglore,Bommanahalli
142,3.0,10900000,7194.7194719471945,0,60,Banglore,Bommanahalli
143,3.0,10500000,7216.494845360825,0,60,Banglore,Bommanahalli
144,3.0,9859000,7249.264705882353,0,60,Banglore,Bommanahalli
145,3.0,6973999,4949.60894251242,0,306,Banglore,Ramamurthy Nagar
146,2.0,5705000,5008.779631255487,0,306,Banglore,Ramamurthy Nagar
147,2.0,5772000,5001.7331022530325,0,306,Banglore,Ramamurthy Nagar
148,3.0,6720999,4967.4789356984475,0,306,Banglore,Ramamurthy Nagar
149,3.0,6761000,4964.023494860499,0,306,Banglore,Ramamurthy Nagar
150,2.0,5677000,5010.591350397176,0,306,Banglore,Ramamurthy Nagar
151,2.0,5384000,5041.198501872659,0,306,Banglore,Ramamurthy Nagar
152,3.0,9141000,5935.714285714285,0,439,Banglore,Whitefield Hope Farm Junction
153,3.0,9522000,5914.285714285715,0,439,Banglore,Whitefield Hope Farm Junction
154,3.0,10000000,5830.903790087464,0,439,Banglore,Whitefield Hope Farm Junction
155,2.0,7211000,6034.309623430962,0,439,Banglore,Whitefield Hope Farm Junction
156,3.0,8514000,5974.736842105263,0,439,Banglore,Whitefield Hope Farm Junction
157,3.0,10300000,5852.272727272727,0,439,Banglore,Whitefield Hope Farm Junction
158,2.0,7783000,5986.923076923077,0,439,Banglore,Whitefield Hope Farm Junction
159,2.0,7429000,6015.384615384615,0,439,Banglore,Whitefield Hope Farm Junction
160,2.0,7809999,5984.673563218391,0,439,Banglore,Whitefield Hope Farm Junction
161,1.0,3506000,5312.121212121212,0,102,Banglore,Electronic City Phase 1
162,2.0,6250000,5580.357142857143,0,102,Banglore,Electronic City Phase 1
163,2.0,6250000,5580.357142857143,0,102,Banglore,Electronic City Phase 1
164,1.0,3797999,5311.8867132867135,0,102,Banglore,Electronic City Phase 1
165,1.0,3797999,5311.8867132867135,0,102,Banglore,Electronic City Phase 1
166,2.0,5034000,5531.868131868132,0,102,Banglore,Electronic City Phase 1
167,2.0,5034000,5531.868131868132,0,102,Banglore,Electronic City Phase 1
168,3.0,7897000,5522.377622377622,0,102,Banglore,Electronic City Phase 1
169,3.0,7897000,5522.377622377622,0,102,Banglore,Electronic City Phase 1
170,2.0,5327000,5520.20725388601,0,102,Banglore,Electronic City Phase 1
171,2.0,5327000,5520.20725388601,0,102,Banglore,Electronic City Phase 1
172,3.0,8269000,5512.666666666667,0,102,Banglore,Electronic City Phase 1
173,3.0,8269000,5512.666666666667,0,102,Banglore,Electronic City Phase 1
174,2.0,5958000,5594.366197183099,0,102,Banglore,Electronic City Phase 1
175,2.0,5958000,5594.366197183099,0,102,Banglore,Electronic City Phase 1
176,2.0,6900000,5420.267085624509,0,444,Banglore,Yelahanka
177,3.0,9700000,5689.149560117302,0,444,Banglore,Yelahanka
178,2.0,7300000,5598.159509202454,0,444,Banglore,Yelahanka
179,3.0,9180000,5400.0,0,19,Banglore,Anjanapura
180,2.0,6986000,5470.634299138606,0,69,Banglore,Carmelaram
181,2.0,6081000,5473.4473447344735,0,69,Banglore,Carmelaram
182,3.0,7891000,5468.468468468468,0,69,Banglore,Carmelaram
183,2.0,6070000,5473.399458972047,0,69,Banglore,Carmelaram
184,2.0,5961000,5473.829201101928,0,69,Banglore,Carmelaram
185,3.0,8442000,5467.616580310881,0,69,Banglore,Carmelaram
186,3.0,9003000,5466.302367941712,0,69,Banglore,Carmelaram
187,2.0,5923000,5474.121996303143,0,69,Banglore,Carmelaram
188,2.0,6174000,5473.404255319149,0,69,Banglore,Carmelaram
189,2.0,5994000,5473.972602739726,0,69,Banglore,Carmelaram
190,3.0,8180000,5467.914438502674,0,69,Banglore,Carmelaram
191,3.0,7662000,5468.950749464668,0,69,Banglore,Carmelaram
192,3.0,8763000,5697.659297789337,0,136,Banglore,Horamavu
193,3.0,8957000,5694.214876033057,0,136,Banglore,Horamavu
194,2.0,6581000,5572.396274343777,0,136,Banglore,Horamavu
195,3.0,9640000,5714.285714285715,0,136,Banglore,Horamavu
196,2.0,6664000,5571.90635451505,0,136,Banglore,Horamavu
197,2.0,6631000,5572.268907563025,0,136,Banglore,Horamavu
198,3.0,10000000,5662.5141562853905,0,136,Banglore,Horamavu
199,3.0,9879000,5710.404624277457,0,136,Banglore,Horamavu
200,3.0,8529000,5567.2323759791125,0,136,Banglore,Horamavu
201,2.0,7252000,5557.088122605364,0,151,Banglore,Jalahalli
202,3.0,9037000,5493.617021276596,0,151,Banglore,Jalahalli
203,2.0,7298000,5549.809885931559,0,151,Banglore,Jalahalli
204,3.0,10400000,5333.333333333333,0,151,Banglore,Jalahalli
205,3.0,9520000,5440.0,0,151,Banglore,Jalahalli
206,2.0,7229000,5560.7692307692305,0,151,Banglore,Jalahalli
207,3.0,9887000,5402.732240437159,0,151,Banglore,Jalahalli
208,3.0,10300000,5322.997416020672,0,151,Banglore,Jalahalli
209,2.0,7159999,5571.983657587549,0,151,Banglore,Jalahalli
210,3.0,10700000,5323.3830845771145,0,151,Banglore,Jalahalli
211,3.0,8900000,5510.835913312693,0,151,Banglore,Jalahalli
212,3.0,9382000,5454.6511627906975,0,151,Banglore,Jalahalli
213,2.0,7344000,5542.641509433963,0,151,Banglore,Jalahalli
214,2.0,7091000,5583.464566929134,0,151,Banglore,Jalahalli
241,3.0,5240000,4000.0,0,61,Banglore,Bommasandra
242,2.0,4120000,4000.0,0,61,Banglore,Bommasandra
243,3.0,7012000,5499.607843137255,0,53,Banglore,Bellandur
244,3.0,8195000,5500.0,0,53,Banglore,Bellandur
250,3.0,14400000,7200.0,0,439,Banglore,Whitefield Hope Farm Junction
251,3.0,13700000,7210.526315789473,0,439,Banglore,Whitefield Hope Farm Junction
252,3.0,11399999,7307.691666666667,0,439,Banglore,Whitefield Hope Farm Junction
253,2.0,4500000,4102.096627164996,0,50,Banglore,Begur
254,3.0,5240000,4000.0,0,61,Banglore,Bommasandra
255,2.0,4120000,4000.0,0,61,Banglore,Bommasandra
256,4.0,29600000,8969.69696969697,0,144,Banglore,JP Nagar Phase 1
257,2.0,8954000,7363.486842105263,0,419,Banglore,Varthur
258,2.0,8800000,7364.016736401673,0,419,Banglore,Varthur
259,3.0,15400000,6635.071090047393,0,419,Banglore,Varthur
260,3.0,11000000,6646.525679758308,0,419,Banglore,Varthur
280,3.0,9453000,5480.0,0,137,Banglore,Hosa Road
281,2.0,15000000,8356.545961002785,0,314,Banglore,Sahakar Nagar
282,1.0,8900000,8900.0,0,314,Banglore,Sahakar Nagar
283,2.0,14400000,8275.862068965518,0,314,Banglore,Sahakar Nagar
284,2.0,12700000,8523.489932885906,0,314,Banglore,Sahakar Nagar
285,3.0,12500000,9469.69696969697,0,314,Banglore,Sahakar Nagar
286,4.0,20099999,8626.609012875537,0,314,Banglore,Sahakar Nagar
287,3.0,18800000,8683.602771362586,0,314,Banglore,Sahakar Nagar
288,2.0,13700000,8328.267477203648,0,314,Banglore,Sahakar Nagar
289,3.0,18900000,9521.410579345089,0,314,Banglore,Sahakar Nagar
290,3.0,8500000,5259.9009900990095,0,26,Banglore,Avalahalli Off Sarjapur Road
291,3.0,9000000,5840.363400389358,0,137,Banglore,Hosa Road
293,3.0,11000000,6508.87573964497,0,416,Banglore,Uttarahalli
294,3.0,18000000,10169.49152542373,0,57,Banglore,Bilekahalli
295,4.0,29300000,9727.755644090306,0,57,Banglore,Bilekahalli
296,3.0,22799999,9620.252742616034,0,57,Banglore,Bilekahalli
301,4.0,42500000,9925.268566090612,0,146,Banglore,JP Nagar Phase 4
302,3.0,13500000,9000.0,0,314,Banglore,Sahakar Nagar
304,3.0,18900000,9521.410579345089,0,314,Banglore,Sahakar Nagar
305,2.0,15400000,8579.387186629527,0,314,Banglore,Sahakar Nagar
306,2.0,12300000,8723.404255319148,0,314,Banglore,Sahakar Nagar
307,2.0,6845999,6570.056621880998,0,148,Banglore,JP Nagar Phase 8
308,3.0,9173000,6514.914772727273,0,148,Banglore,JP Nagar Phase 8
309,3.0,9471000,6509.278350515464,0,148,Banglore,JP Nagar Phase 8
310,2.0,7247000,6558.371040723982,0,148,Banglore,JP Nagar Phase 8
312,1.0,11800000,8773.234200743495,0,314,Banglore,Sahakar Nagar
313,2.0,4815000,4349.59349593496,0,136,Banglore,Horamavu
314,2.0,4880000,4349.376114081996,0,136,Banglore,Horamavu
315,2.0,5050000,4349.698535745048,0,136,Banglore,Horamavu
316,2.0,4619000,4349.340866290019,0,136,Banglore,Horamavu
317,2.0,4785000,4350.0,0,136,Banglore,Horamavu
318,2.0,4972000,4349.956255468066,0,136,Banglore,Horamavu
319,2.0,4737000,4349.862258953168,0,136,Banglore,Horamavu
320,2.0,4854000,4349.462365591397,0,136,Banglore,Horamavu
321,4.0,28300000,9330.695680844048,0,38,Banglore,Banashankari
322,3.0,21400000,8999.158957106813,0,38,Banglore,Banashankari
323,3.0,23500000,9318.001586042823,0,38,Banglore,Banashankari
324,4.0,29900000,9329.173166926677,0,38,Banglore,Banashankari
325,2.0,9200000,6686.046511627907,0,301,Banglore,RR Nagar
326,2.0,8000000,6849.315068493151,0,301,Banglore,RR Nagar
327,2.0,9200000,6700.655498907502,0,301,Banglore,RR Nagar
328,2.0,8000000,6849.315068493151,0,301,Banglore,RR Nagar
329,2.0,8000000,6849.315068493151,0,301,Banglore,RR Nagar
330,2.0,9300000,6758.720930232558,0,301,Banglore,RR Nagar
331,2.0,7900000,6763.698630136986,0,301,Banglore,RR Nagar
332,2.0,9200000,6686.046511627907,0,301,Banglore,RR Nagar
333,2.0,9100000,6627.822286962855,0,301,Banglore,RR Nagar
334,2.0,9000000,6554.9890750182085,0,301,Banglore,RR Nagar
335,2.0,7900000,6763.698630136986,0,301,Banglore,RR Nagar
336,2.0,7900000,6810.3448275862065,0,301,Banglore,RR Nagar
337,2.0,8000000,6849.315068493151,0,301,Banglore,RR Nagar
338,2.0,7800000,6724.137931034483,0,301,Banglore,RR Nagar
339,2.0,9200000,6700.655498907502,0,301,Banglore,RR Nagar
340,2.0,9100000,6613.372093023256,0,301,Banglore,RR Nagar
341,2.0,9100000,6627.822286962855,0,301,Banglore,RR Nagar
342,2.0,9000000,6554.9890750182085,0,301,Banglore,RR Nagar
343,2.0,7900000,6763.698630136986,0,301,Banglore,RR Nagar
344,2.0,8800000,6409.322651128915,0,301,Banglore,RR Nagar
348,2.0,9060000,7105.882352941177,0,50,Banglore,Begur
349,2.0,8644000,7143.801652892562,0,50,Banglore,Begur
350,2.0,8836000,7125.806451612903,0,50,Banglore,Begur
351,3.0,10200000,7034.482758620689,0,50,Banglore,Begur
352,2.0,8528000,7154.362416107382,0,50,Banglore,Begur
353,2.0,8516000,7156.302521008403,0,50,Banglore,Begur
354,2.0,8804000,7128.744939271255,0,50,Banglore,Begur
355,3.0,9910000,7078.571428571428,0,50,Banglore,Begur
356,3.0,7634000,4753.424657534247,0,306,Banglore,Ramamurthy Nagar
357,2.0,5970000,4818.401937046005,0,306,Banglore,Ramamurthy Nagar
358,3.0,7675000,4752.321981424148,0,306,Banglore,Ramamurthy Nagar
359,2.0,5702000,4832.203389830508,0,306,Banglore,Ramamurthy Nagar
360,2.0,6210000,4806.5015479876165,0,306,Banglore,Ramamurthy Nagar
361,2.0,2520000,2800.0,0,24,Banglore,Attibele
362,3.0,3304000,2800.0,0,24,Banglore,Attibele
363,3.0,3010000,2800.0,0,24,Banglore,Attibele
364,2.0,2800000,2800.0,0,24,Banglore,Attibele
365,2.0,2464000,2800.0,0,24,Banglore,Attibele
366,2.0,5557000,4689.451476793249,0,163,Banglore,Kadugodi
367,3.0,11900000,4685.03937007874,0,163,Banglore,Kadugodi
368,3.0,7738000,4689.69696969697,0,163,Banglore,Kadugodi
369,2.0,6354000,4689.29889298893,0,163,Banglore,Kadugodi
370,1.0,2814000,4690.0,0,163,Banglore,Kadugodi
371,2.0,5463000,4689.270386266095,0,163,Banglore,Kadugodi
372,3.0,7456999,4689.936477987421,0,163,Banglore,Kadugodi
373,2.0,5416000,4689.177489177489,0,163,Banglore,Kadugodi
374,3.0,11700000,4689.37875751503,0,163,Banglore,Kadugodi
375,2.0,5604000,4689.539748953975,0,163,Banglore,Kadugodi
376,3.0,7175000,4689.5424836601305,0,163,Banglore,Kadugodi
377,3.0,7504000,4690.0,0,163,Banglore,Kadugodi
378,2.0,5628000,4690.0,0,163,Banglore,Kadugodi
381,2.0,6385000,5700.892857142857,0,186,Banglore,Kodigehalli
382,2.0,6531999,6499.501492537313,0,39,Banglore,Banaswadi
383,3.0,9457000,6499.656357388316,0,39,Banglore,Banaswadi
384,3.0,9035000,6500.0,0,39,Banglore,Banaswadi
385,2.0,6662000,6499.512195121952,0,39,Banglore,Banaswadi
386,2.0,7181999,6499.546606334841,0,39,Banglore,Banaswadi
387,2.0,7377000,6499.559471365639,0,39,Banglore,Banaswadi
388,3.0,7125000,5000.0,0,439,Banglore,Whitefield Hope Farm Junction
389,2.0,6389000,5679.111111111111,0,186,Banglore,Kodigehalli
390,2.0,6459000,5741.333333333333,0,186,Banglore,Kodigehalli
411,2.0,5550000,4440.0,0,426,Banglore,Vidyaranyapura
412,2.0,4500000,4446.640316205534,0,426,Banglore,Vidyaranyapura
414,3.0,3999000,3000.0,0,322,Banglore,Sarjapur
415,3.0,3522000,3000.0,0,322,Banglore,Sarjapur
416,2.0,2874000,3000.0,0,322,Banglore,Sarjapur
417,3.0,3682000,2499.6605566870335,0,24,Banglore,Attibele
418,3.0,3427000,2499.63530269876,0,24,Banglore,Attibele
419,3.0,3932000,2499.6821360457725,0,24,Banglore,Attibele
420,3.0,3822000,2499.672988881622,0,24,Banglore,Attibele
421,2.0,2487000,2499.497487437186,0,24,Banglore,Attibele
466,3.0,5045000,3682.4817518248174,0,103,Banglore,Electronic City Phase 2
467,2.0,4362000,3712.340425531915,0,103,Banglore,Electronic City Phase 2
468,3.0,5500000,3666.6666666666665,0,103,Banglore,Electronic City Phase 2
469,2.0,4565000,3702.35198702352,0,103,Banglore,Electronic City Phase 2
470,2.0,4000000,3636.3636363636365,0,103,Banglore,Electronic City Phase 2
471,3.0,4800000,3692.3076923076924,0,103,Banglore,Electronic City Phase 2
472,2.0,4485000,3706.6115702479337,0,103,Banglore,Electronic City Phase 2
473,2.0,4011999,3732.092093023256,0,103,Banglore,Electronic City Phase 2
474,2.0,4520000,3704.9180327868853,0,103,Banglore,Electronic City Phase 2
475,2.0,4292000,3716.017316017316,0,103,Banglore,Electronic City Phase 2
476,3.0,4730000,3695.3125,0,103,Banglore,Electronic City Phase 2
477,3.0,4975000,3685.185185185185,0,103,Banglore,Electronic City Phase 2
478,3.0,4905000,3687.96992481203,0,103,Banglore,Electronic City Phase 2
479,2.0,4222000,3719.8237885462554,0,103,Banglore,Electronic City Phase 2
480,2.0,3995000,3733.644859813084,0,103,Banglore,Electronic City Phase 2
482,3.0,3579000,3000.0,0,322,Banglore,Sarjapur
483,2.0,3372000,3000.0,0,322,Banglore,Sarjapur
484,2.0,2922000,3000.0,0,322,Banglore,Sarjapur
485,2.0,2844000,3000.0,0,322,Banglore,Sarjapur
486,2.0,2901000,3000.0,0,322,Banglore,Sarjapur
487,2.0,2820000,3000.0,0,322,Banglore,Sarjapur
488,3.0,4458000,3000.0,0,322,Banglore,Sarjapur
489,3.0,3483000,3000.0,0,322,Banglore,Sarjapur
490,3.0,3699000,3000.0,0,322,Banglore,Sarjapur
491,3.0,3906000,3000.0,0,322,Banglore,Sarjapur
492,2.0,2889000,3000.0,0,322,Banglore,Sarjapur
493,2.0,3429000,3000.0,0,322,Banglore,Sarjapur
494,3.0,4164000,3000.0,0,322,Banglore,Sarjapur
495,2.0,3384000,3000.0,0,322,Banglore,Sarjapur
496,2.0,2935000,2500.0,0,24,Banglore,Attibele
497,3.0,4097000,2499.6949359365467,0,24,Banglore,Attibele
498,2.0,3202000,2499.6096799375487,0,24,Banglore,Attibele
499,2.0,2867000,2499.5640802092416,0,24,Banglore,Attibele
500,3.0,3411999,2499.632967032967,0,24,Banglore,Attibele
506,3.0,3010000,2800.0,0,24,Banglore,Attibele
508,2.0,7200000,6025.104602510461,0,53,Banglore,Bellandur
509,3.0,20400000,8644.06779661017,0,405,Banglore,Thanisandra
510,3.0,17600000,7628.955353272649,0,405,Banglore,Thanisandra
512,2.0,4002000,3848.076923076923,0,205,Banglore,Krishnarajapura
513,2.0,4568000,3848.357203032856,0,205,Banglore,Krishnarajapura
514,2.0,4056000,3848.1973434535103,0,205,Banglore,Krishnarajapura
515,2.0,4303000,3848.8372093023254,0,205,Banglore,Krishnarajapura
516,2.0,4299000,3848.70188003581,0,205,Banglore,Krishnarajapura
517,2.0,4541000,3848.3050847457625,0,205,Banglore,Krishnarajapura
518,2.0,4210000,3848.2632541133457,0,205,Banglore,Krishnarajapura
519,2.0,4195000,3848.623853211009,0,205,Banglore,Krishnarajapura
520,2.0,4226000,3848.816029143898,0,205,Banglore,Krishnarajapura
521,2.0,4638000,3848.9626556016597,0,205,Banglore,Krishnarajapura
522,3.0,4699000,3848.4848484848485,0,205,Banglore,Krishnarajapura
523,2.0,4426000,3848.695652173913,0,205,Banglore,Krishnarajapura
524,2.0,3925000,3848.0392156862745,0,205,Banglore,Krishnarajapura
525,2.0,4345000,3848.538529672276,0,205,Banglore,Krishnarajapura
526,2.0,4086999,3848.398305084746,0,205,Banglore,Krishnarajapura
527,2.0,4076000,3848.9140698772426,0,205,Banglore,Krishnarajapura
528,2.0,4072000,3848.7712665406425,0,205,Banglore,Krishnarajapura
529,2.0,4614000,3848.206839032527,0,205,Banglore,Krishnarajapura
530,3.0,4054000,2799.723756906077,0,154,Banglore,Jigani
531,3.0,3500000,2800.0,0,154,Banglore,Jigani
532,3.0,4165999,2799.730510752688,0,154,Banglore,Jigani
533,2.0,3068000,2799.2700729927005,0,154,Banglore,Jigani
534,3.0,4174000,2799.4634473507713,0,154,Banglore,Jigani
535,2.0,3052000,2800.0,0,154,Banglore,Jigani
536,2.0,3085000,2799.4555353901997,0,154,Banglore,Jigani
537,2.0,3264000,2799.3138936535165,0,154,Banglore,Jigani
538,2.0,2576000,2800.0,0,154,Banglore,Jigani
539,2.0,3197000,2799.474605954466,0,154,Banglore,Jigani
540,3.0,4342000,2799.484203739523,0,154,Banglore,Jigani
541,2.0,3178000,2800.0,0,154,Banglore,Jigani
544,3.0,4292000,2799.7390737116766,0,154,Banglore,Jigani
547,2.0,2984000,2799.249530956848,0,154,Banglore,Jigani
559,3.0,3010000,2800.0,0,24,Banglore,Attibele
560,2.0,2436000,2800.0,0,24,Banglore,Attibele
561,2.0,2800000,2800.0,0,24,Banglore,Attibele
562,3.0,3388000,2800.0,0,24,Banglore,Attibele
563,2.0,2520000,2800.0,0,24,Banglore,Attibele
564,2.0,3038000,2800.0,0,24,Banglore,Attibele
565,2.0,2464000,2800.0,0,24,Banglore,Attibele
569,3.0,7211000,5252.002913328478,0,145,Banglore,JP Nagar Phase 3
570,2.0,5910000,5329.12533814247,0,145,Banglore,JP Nagar Phase 3
571,3.0,7423000,5245.936395759717,0,145,Banglore,JP Nagar Phase 3
572,3.0,9227000,5177.890011223344,0,145,Banglore,JP Nagar Phase 3
573,3.0,7263000,5251.6268980477225,0,145,Banglore,JP Nagar Phase 3
574,2.0,6494000,5292.583537082314,0,145,Banglore,JP Nagar Phase 3
575,3.0,8458000,5201.722017220172,0,145,Banglore,JP Nagar Phase 3
576,3.0,9094000,5181.7663817663815,0,145,Banglore,JP Nagar Phase 3
577,3.0,7847000,5224.367509986684,0,145,Banglore,JP Nagar Phase 3
578,2.0,6520999,5288.725871857258,0,145,Banglore,JP Nagar Phase 3
579,3.0,7184000,5255.303584491588,0,145,Banglore,JP Nagar Phase 3
580,2.0,5858000,5335.154826958105,0,145,Banglore,JP Nagar Phase 3
581,3.0,7689000,5230.6122448979595,0,145,Banglore,JP Nagar Phase 3
582,3.0,6415000,5297.274979355904,0,145,Banglore,JP Nagar Phase 3
583,2.0,5752000,5340.761374187558,0,145,Banglore,JP Nagar Phase 3
584,2.0,6388000,5296.849087893864,0,145,Banglore,JP Nagar Phase 3
585,3.0,7078000,5258.54383358098,0,145,Banglore,JP Nagar Phase 3
586,2.0,5804000,5339.466421343146,0,145,Banglore,JP Nagar Phase 3
587,3.0,11200000,5125.858123569794,0,145,Banglore,JP Nagar Phase 3
588,3.0,7608000,5236.063317274604,0,145,Banglore,JP Nagar Phase 3
589,2.0,6361000,5300.833333333333,0,145,Banglore,JP Nagar Phase 3
590,3.0,8192000,5211.195928753181,0,145,Banglore,JP Nagar Phase 3
591,2.0,6255000,5305.343511450382,0,145,Banglore,JP Nagar Phase 3
592,3.0,8830000,5191.064079952969,0,145,Banglore,JP Nagar Phase 3
593,3.0,9517000,5169.473112438892,0,145,Banglore,JP Nagar Phase 3
594,3.0,7556000,5236.313236313236,0,145,Banglore,JP Nagar Phase 3
595,3.0,7554000,5238.557558945909,0,145,Banglore,JP Nagar Phase 3
