,Area,Location,No. of Bedrooms,City,price_lack
5049,2200,Sector-18 Dwarka,3.0,Delhi,24000000
5050,1100,Sector 22 Dwarka,2.0,Delhi,11500000
5051,3300,Sector 19 Dwarka,4.0,Delhi,28500000
5052,1600,Sector 10 Dwarka,3.0,Delhi,15500000
5053,1600,Sector 12 Dwarka,3.0,Delhi,15500000
5054,1300,Sector 7 Dwarka,3.0,Delhi,13500000
5055,1500,Sector 6 Dwarka,3.0,Delhi,15500000
5056,1800,Sector 10 Dwarka,3.0,Delhi,16000000
5057,1600,Sector 19 Dwarka,3.0,Delhi,14100000
5058,1500,Sector 19 Dwarka,3.0,Delhi,15500000
5059,2150,Sector 10 Dwarka,4.0,Delhi,24500000
5060,2500,Sector 11 Dwarka,3.0,Delhi,19800000
5061,2200,Sector 18A Dwarka,4.0,Delhi,18500000
5062,2200,Sector 19 Dwarka,4.0,Delhi,19500000
5063,900,Sector 17 Dwarka,2.0,Delhi,7000000
5064,2500,Sector 18A Dwarka,4.0,Delhi,19500000
5065,1750,Sector 13 Dwarka,3.0,Delhi,14000000
5066,1000,Uttam Nagar,3.0,Delhi,6500000
5067,900,Uttam Nagar,3.0,Delhi,5800000
5068,820,Uttam Nagar,3.0,Delhi,4700000
5069,625,Uttam Nagar,2.0,Delhi,2700000
5070,525,Uttam Nagar,2.0,Delhi,2400000
5071,750,Uttam Nagar,2.0,Delhi,3500000
5072,850,Uttam Nagar,3.0,Delhi,4200000
5073,1200,Uttam Nagar,4.0,Delhi,4600000
5074,500,Uttam Nagar,2.0,Delhi,2000000
5075,560,Uttam Nagar,2.0,Delhi,2700000
5076,580,Uttam Nagar,2.0,Delhi,2800000
5077,950,Uttam Nagar,3.0,Delhi,3500000
5078,675,Uttam Nagar,3.0,Delhi,2900000
5079,810,Uttam Nagar,3.0,Delhi,3300000
5080,1100,Uttam Nagar,3.0,Delhi,4200000
5081,1600,Sector 4 Dwarka,3.0,Delhi,14000000
5082,1800,Sector 10 Dwarka,3.0,Delhi,17000000
5083,1800,Sector 10 Dwarka,3.0,Delhi,17000000
5084,630,Jamia Nagar,3.0,Delhi,2700000
5085,630,Jamia Nagar,3.0,Delhi,2600000
5086,630,Jamia Nagar,3.0,Delhi,2600000
5087,630,Jamia Nagar,3.0,Delhi,2500000
5088,2400,Sector 22 Dwarka,4.0,Delhi,26500000
5089,2200,Sector 19 Dwarka,4.0,Delhi,22000000
5090,2600,Sector 19 Dwarka,4.0,Delhi,22500000
5091,2400,Sector 11 Dwarka,3.0,Delhi,21000000
5092,2000,Sector-18 Dwarka,3.0,Delhi,18000000
5093,2100,Sector 12 Dwarka,3.0,Delhi,17000000
5094,1200,Sector 23 Rohini,3.0,Delhi,7000000
5095,1125,Budh Vihar,3.0,Delhi,9500000
5096,800,Budh Vihar,3.0,Delhi,5500000
5097,1125,Sector 20 Rohini,3.0,Delhi,8000000
5098,1125,Sector 20 Rohini,3.0,Delhi,8500000
5099,1200,Sector 20 Rohini,3.0,Delhi,8500000
5100,1200,Sector 20 Rohini,3.0,Delhi,7500000
5101,1200,Sector 20 Rohini,3.0,Delhi,8000000
5102,1450,Vasant Kunj,3.0,Delhi,24000000
5103,920,Uttam Nagar,3.0,Delhi,5000000
5104,500,Uttam Nagar,2.0,Delhi,2100000
5105,800,Rohini sector 24,3.0,Delhi,7500000
5106,1600,Sector 22 Rohini,4.0,Delhi,15000000
5107,1450,Sector 22 Rohini,3.0,Delhi,8000000
5108,1150,Sector 22 Rohini,4.0,Delhi,12000000
5109,750,Sector 22 Rohini,3.0,Delhi,5000000
5110,600,Sector 22 Rohini,2.0,Delhi,4000000
5111,1125,Sector 23 Rohini,3.0,Delhi,7900000
5112,1700,Sector 18A Dwarka,3.0,Delhi,16500000
5113,650,Uttam Nagar,2.0,Delhi,2750000
5114,540,Uttam Nagar,2.0,Delhi,2500000
5115,650,Uttam Nagar,2.0,Delhi,2850000
5116,800,Uttam Nagar,3.0,Delhi,3811000
5117,525,Uttam Nagar,2.0,Delhi,2150000
5118,750,Uttam Nagar,3.0,Delhi,3651000
5119,750,Uttam Nagar,3.0,Delhi,3651000
5120,600,Uttam Nagar,2.0,Delhi,3000000
5121,560,Uttam Nagar,2.0,Delhi,2030000
5122,1800,Sector 10 Dwarka,3.0,Delhi,14800000
5123,900,Uttam Nagar,3.0,Delhi,4500000
5124,600,Uttam Nagar,2.0,Delhi,2611000
5125,500,Bindapur,2.0,Delhi,2100000
5126,750,Uttam Nagar,3.0,Delhi,3200000
5127,650,Uttam Nagar,2.0,Delhi,2751000
5128,750,Uttam Nagar,3.0,Delhi,3600000
5129,850,Uttam Nagar,3.0,Delhi,4000000
5130,750,Uttam Nagar,3.0,Delhi,3211000
5131,500,Uttam Nagar,2.0,Delhi,2351000
5132,750,Uttam Nagar,3.0,Delhi,3700000
5133,750,Uttam Nagar,3.0,Delhi,3200000
5134,750,Uttam Nagar,3.0,Delhi,3511000
5135,525,Uttam Nagar,2.0,Delhi,2351000
5136,800,Uttam Nagar,3.0,Delhi,3751000
5137,810,Uttam Nagar,3.0,Delhi,3851000
5138,540,Uttam Nagar,2.0,Delhi,2351000
5139,800,Uttam Nagar,3.0,Delhi,3911000
5140,525,Uttam Nagar,2.0,Delhi,2150000
5141,750,Uttam Nagar,3.0,Delhi,3520000
5142,540,Uttam Nagar,2.0,Delhi,2899000
5143,540,Uttam Nagar,2.0,Delhi,2550000
5144,600,Uttam Nagar,2.0,Delhi,2851000
5145,800,Uttam Nagar,3.0,Delhi,3521000
5146,750,Bindapur,3.0,Delhi,3411000
5147,720,Uttam Nagar,3.0,Delhi,3900000
5148,900,Uttam Nagar,3.0,Delhi,4010000
5149,540,Uttam Nagar,2.0,Delhi,2499000
5150,600,Uttam Nagar,2.0,Delhi,2710000
5151,600,Uttam Nagar,2.0,Delhi,2511000
5152,500,Uttam Nagar,2.0,Delhi,2511000
5153,800,Uttam Nagar,3.0,Delhi,3621000
5154,500,Uttam Nagar,2.0,Delhi,2211000
5155,720,nawada,3.0,Delhi,4000000
5156,810,Mansa Ram Park,3.0,Delhi,4700000
5157,855,Mansa Ram Park,3.0,Delhi,4700000
5158,830,Dwarka Mor,3.0,Delhi,4000000
5159,1800,Sector 6 Dwarka,3.0,Delhi,15000000
5160,600,Uttam Nagar,2.0,Delhi,2651000
5161,525,Uttam Nagar,2.0,Delhi,2351000
5162,750,Uttam Nagar,3.0,Delhi,3521000
5163,500,Uttam Nagar,2.0,Delhi,2311000
5164,900,Uttam Nagar,3.0,Delhi,4211000
5165,900,nawada,3.0,Delhi,4151000
5166,540,Mansa Ram Park,2.0,Delhi,2350000
5167,600,Uttam Nagar,2.0,Delhi,2851000
5168,900,Dwarka Mor,3.0,Delhi,4100000
5169,800,Uttam Nagar,3.0,Delhi,3611000
5170,500,Uttam Nagar,1.0,Delhi,2000000
5171,500,Uttam Nagar,2.0,Delhi,2100000
5172,750,Uttam Nagar,3.0,Delhi,3621000
5173,525,Uttam Nagar,2.0,Delhi,2200000
5174,800,Uttam Nagar,3.0,Delhi,3850000
5175,750,Uttam Nagar,3.0,Delhi,3611000
5176,540,Uttam Nagar,2.0,Delhi,2311000
5177,675,Mansa Ram Park,3.0,Delhi,3500000
5178,800,Uttam Nagar,3.0,Delhi,3750000
5179,1650,Alaknanda,4.0,Delhi,16399999
5180,1300,Alaknanda,2.0,Delhi,15600000
5181,1650,greater kailash Enclave 1,3.0,Delhi,25000000
5182,1650,greater kailash Enclave 1,3.0,Delhi,19000000
5183,1350,Greater Kailash,2.0,Delhi,15100000
5184,1350,Kalkaji,3.0,Delhi,16700000
5185,1450,Alaknanda,3.0,Delhi,19000000
5186,1450,Alaknanda,3.0,Delhi,19000000
5187,1200,Alaknanda,2.0,Delhi,15000000
5188,1250,Alaknanda,2.0,Delhi,15500000
5189,1450,Alaknanda,3.0,Delhi,18700000
5190,1400,Alaknanda,3.0,Delhi,18300000
5191,1400,Sector 24 Rohini,4.0,Delhi,13500000
5192,2250,Sector 24 Rohini,4.0,Delhi,27500000
5193,300,Sector 24 Rohini,1.0,Delhi,2200000
5194,400,Sector 24 Rohini,1.0,Delhi,2600000
5195,700,Sector 24 Rohini,2.0,Delhi,6000000
5196,800,Sector 24 Rohini,3.0,Delhi,7000000
5197,600,Sector 24 Rohini,2.0,Delhi,5500000
5198,1350,Kalkaji,2.0,Delhi,16500000
5199,1650,Alaknanda,3.0,Delhi,15700000
5200,1350,Alaknanda,3.0,Delhi,16500000
5201,1350,Alaknanda,2.0,Delhi,15000000
5202,1450,Alaknanda,3.0,Delhi,18500000
5203,1450,Alaknanda,3.0,Delhi,18900000
5204,1450,Alaknanda,3.0,Delhi,19600000
5205,1350,Alaknanda,2.0,Delhi,16500000
5206,1650,Alaknanda,3.0,Delhi,21500000
5207,1550,Kalkaji,3.0,Delhi,24500000
5208,1550,Alaknanda,3.0,Delhi,19000000
5209,1250,Alaknanda,2.0,Delhi,14100000
5210,1650,Alaknanda,3.0,Delhi,22900000
5211,1250,Kalkaji,2.0,Delhi,15500000
5212,1450,Alaknanda,3.0,Delhi,20500000
5213,1550,Alaknanda,3.0,Delhi,15700000
5214,1650,Kalkaji,3.0,Delhi,22500000
5215,1450,Alaknanda,3.0,Delhi,19000000
5216,1700,Kalkaji,3.0,Delhi,16700000
5217,1250,Alaknanda,2.0,Delhi,15500000
5218,1300,Alaknanda,2.0,Delhi,17000000
5219,1350,Kalkaji,2.0,Delhi,16000000
5220,1250,Kalkaji,2.0,Delhi,15500000
5221,1400,Alaknanda,3.0,Delhi,19000000
5222,1200,Kalkaji,2.0,Delhi,14500000
5223,1250,Alaknanda,2.0,Delhi,13799999
5224,1450,Alaknanda,3.0,Delhi,19500000
5225,1650,Alaknanda,3.0,Delhi,19500000
5226,2200,Chattarpur,4.0,Delhi,9000000
5227,750,Dwarka Mor,3.0,Delhi,4299000
5228,800,Dwarka Mor,2.0,Delhi,3200000
5229,700,Dwarka Mor,2.0,Delhi,2499000
5230,1170,DLF Farms,3.0,Delhi,7000000
5231,1850,Sector 13 Dwarka,3.0,Delhi,15500000
5232,1800,Sector 13 Dwarka,3.0,Delhi,13799999
5233,1750,Sector 3 Dwarka,3.0,Delhi,13200000
5234,1800,Sector 22 Dwarka,3.0,Delhi,13000000
5235,1750,Sector 7 Dwarka,3.0,Delhi,13000000
5236,1650,Vasant Kunj,3.0,Delhi,25000000
5237,850,Uttam Nagar,3.0,Delhi,4499000
5238,600,Uttam Nagar,2.0,Delhi,2799000
5239,750,Uttam Nagar,2.0,Delhi,3799000
5240,700,Uttam Nagar,2.0,Delhi,3500000
5241,750,Uttam Nagar,3.0,Delhi,3900000
5242,600,Vasant Kunj,1.0,Delhi,7000000
5243,650,Vasant Kunj,1.0,Delhi,9000000
5244,600,Vasant Kunj,1.0,Delhi,7500000
5245,1100,Vasant Kunj,2.0,Delhi,13000000
5246,800,Vasant Kunj,2.0,Delhi,11000000
5247,1700,Vasant Kunj,3.0,Delhi,19000000
5248,581,Kalkaji,1.0,Delhi,7200000
5249,581,Vasant Kunj,1.0,Delhi,7500000
5250,500,Uttam Nagar,2.0,Delhi,2100000
5251,1150,Uttam Nagar,4.0,Delhi,7000000
5252,750,Uttam Nagar,2.0,Delhi,3699000
5253,650,Uttam Nagar,2.0,Delhi,3099000
5254,850,Uttam Nagar,3.0,Delhi,4799000
5255,900,Dwarka Mor,3.0,Delhi,5800000
5256,820,Dwarka Mor,3.0,Delhi,4700000
5257,625,Dwarka Mor,2.0,Delhi,2700000
5258,525,Dwarka Mor,2.0,Delhi,2400000
5259,750,Dwarka Mor,2.0,Delhi,3500000
5260,850,Dwarka Mor,3.0,Delhi,4200000
5261,1800,Vasant Kunj,3.0,Delhi,30000000
5262,1800,Vasant Kunj,3.0,Delhi,30000000
5263,1000,Paschim Vihar,3.0,Delhi,10000000
5264,1250,Dwarka Mor,3.0,Delhi,6900000
5265,1050,Dwarka Mor,3.0,Delhi,5500000
5266,610,Dwarka Mor,2.0,Delhi,3190000
5267,640,Dwarka Mor,2.0,Delhi,3220000
5268,875,Dwarka Mor,3.0,Delhi,4700000
5269,630,Dwarka Mor,2.0,Delhi,3210000
5270,650,Dwarka Mor,2.0,Delhi,3225000
5271,850,Dwarka Mor,3.0,Delhi,4300000
5272,800,Dwarka Mor,3.0,Delhi,4100000
5273,600,Dwarka Mor,2.0,Delhi,2700000
5274,581,Vasant Kunj,1.0,Delhi,7500000
5275,1000,Vasant Kunj,2.0,Delhi,10500000
5276,600,Vasant Kunj,1.0,Delhi,7500000
5277,450,Uttam Nagar,2.0,Delhi,2599000
5278,650,Uttam Nagar,2.0,Delhi,2899000
5279,800,Uttam Nagar,3.0,Delhi,4400000
5280,1000,Vasant Kunj,2.0,Delhi,11000000
5281,600,Vasant Kunj,1.0,Delhi,2650000
5282,800,nawada,3.0,Delhi,4200000
5283,500,Pitampura,2.0,Delhi,3500000
5284,1600,Vasant Kunj,4.0,Delhi,21000000
5285,1650,Vasant Kunj,4.0,Delhi,21000000
5286,1650,Vasant Kunj,4.0,Delhi,21000000
5287,738,Burari,3.0,Delhi,3600000
5288,900,Mehrauli,2.0,Delhi,5999000
5289,1500,Mehrauli,3.0,Delhi,10500000
5290,1600,Vasant Kunj,3.0,Delhi,17500000
5291,750,Khanpur,2.0,Delhi,3200000
5292,1700,Sector 13 Dwarka,3.0,Delhi,11500000
5293,1450,Sector 13 Dwarka,3.0,Delhi,11500000
5294,1100,Paschim Vihar,2.0,Delhi,9000000
5295,1500,Pitampura,3.0,Delhi,16000000
5296,950,Uttam Nagar,3.0,Delhi,4799000
5297,450,Uttam Nagar,2.0,Delhi,2599000
