,Area,Location,No. of Bedrooms,City,price_lack
0,3340,JP Nagar Phase 1,4.0,Banglore,30000000
1,1675,Doddanekundi,3.0,Banglore,8358000
2,1670,Kengeri,3.0,Banglore,6845000
3,1220,Horamavu,2.0,Banglore,6797000
4,2502,Thanisandra,4.0,Banglore,20000000
5,1438,Ramamurthy Nagar,3.0,Banglore,7105000
6,1405,Whitefield Hope Farm Junction,3.0,Banglore,8405000
7,660,Electronic City Phase 1,1.0,Banglore,3506000
8,1362,Yelahanka,2.0,Banglore,7700000
9,1735,Anjanapura,3.0,Banglore,9369000
10,1575,Jalahalli,3.0,Banglore,8716000
11,1120,Kasavanahalli,2.0,Banglore,5394000
12,1415,Whitefield Hope Farm Junction,3.0,Banglore,6367000
13,1270,Bommasandra,2.0,Banglore,5080000
14,1311,Bellandur,3.0,Banglore,7209999
15,1210,RR Nagar,2.0,Banglore,5700000
16,3340,JP Nagar Phase 1,4.0,Banglore,30000000
17,1675,Doddanekundi,3.0,Banglore,8358000
18,1670,Kengeri,3.0,Banglore,6845000
19,1220,Horamavu,2.0,Banglore,6797000
20,2502,Thanisandra,4.0,Banglore,20000000
21,1438,Ramamurthy Nagar,3.0,Banglore,7105000
22,1405,Whitefield Hope Farm Junction,3.0,Banglore,8405000
23,660,Electronic City Phase 1,1.0,Banglore,3506000
24,1362,Yelahanka,2.0,Banglore,7700000
25,1735,Anjanapura,3.0,Banglore,9369000
26,1575,Jalahalli,3.0,Banglore,8716000
27,1120,Kasavanahalli,2.0,Banglore,5394000
28,1415,Whitefield Hope Farm Junction,3.0,Banglore,6367000
29,1270,Bommasandra,2.0,Banglore,5080000
30,1311,Bellandur,3.0,Banglore,7209999
31,1210,RR Nagar,2.0,Banglore,5700000
32,1705,Whitefield Hope Farm Junction,3.0,Banglore,12400000
33,1187,Begur,2.0,Banglore,4900000
34,3340,JP Nagar Phase 1,4.0,Banglore,30000000
35,1675,Doddanekundi,3.0,Banglore,8358000
36,1670,Kengeri,3.0,Banglore,6845000
37,1220,Horamavu,2.0,Banglore,6797000
38,2502,Thanisandra,4.0,Banglore,20000000
39,1438,Ramamurthy Nagar,3.0,Banglore,7105000
40,1405,Whitefield Hope Farm Junction,3.0,Banglore,8405000
41,660,Electronic City Phase 1,1.0,Banglore,3506000
42,1362,Yelahanka,2.0,Banglore,7700000
43,1735,Anjanapura,3.0,Banglore,9369000
44,1575,Jalahalli,3.0,Banglore,8716000
45,1120,Kasavanahalli,2.0,Banglore,5394000
46,1415,Whitefield Hope Farm Junction,3.0,Banglore,6367000
47,1270,Bommasandra,2.0,Banglore,5080000
48,1311,Bellandur,3.0,Banglore,7209999
49,1210,RR Nagar,2.0,Banglore,5700000
50,1705,Whitefield Hope Farm Junction,3.0,Banglore,12400000
51,1187,Begur,2.0,Banglore,4900000
52,1270,Bommasandra,2.0,Banglore,5080000
53,1726,Hosa Road,3.0,Banglore,9458000
54,2470,Sahakar Nagar,4.0,Banglore,23700000
55,1570,Kadugodi,3.0,Banglore,7363000
56,1120,Jakkur,2.0,Banglore,5489000
57,1506,Jigani,3.0,Banglore,4216000
58,1040,Krishnarajapura,2.0,Banglore,4368000
59,1150,Brookefield,2.0,Banglore,7600000
60,1045,Horamavu,2.0,Banglore,4545000
61,2480,Banashankari,3.0,Banglore,23100000
62,1160,RR Nagar,2.0,Banglore,8000000
63,1143,RR Nagar,2.0,Banglore,4514000
64,1300,RR Nagar,2.0,Banglore,5460000
65,966,Nelamangala,2.0,Banglore,4414000
66,1245,Begur,2.0,Banglore,8868000
67,1275,Ramamurthy Nagar,2.0,Banglore,6133000
68,1085,Attibele,2.0,Banglore,3038000
69,1286,Nelamangala,3.0,Banglore,7100000
70,1155,Banaswadi,2.0,Banglore,7506999
71,1304,Whitefield Hope Farm Junction,3.0,Banglore,6520000
72,1120,Kodigehalli,2.0,Banglore,6389000
73,2017,ITPL,3.0,Banglore,11700000
74,1304,Electronic City Phase 1,3.0,Banglore,4562000
75,649,Ramamurthy Nagar,1.0,Banglore,2951000
76,1108,Krishnarajapura,2.0,Banglore,4264000
77,1675,Krishnarajapura,3.0,Banglore,6698000
78,1075,Kasavanahalli,2.0,Banglore,4500000
79,1120,Varthur,2.0,Banglore,4928000
80,1350,Vidyaranyapura,2.0,Banglore,6100000
81,1404,Electronic City Phase 2,2.0,Banglore,6151000
82,1080,Begur,2.0,Banglore,5426000
83,1800,J. P. Nagar,3.0,Banglore,13000000
84,1060,K. Chudahalli,2.0,Banglore,4850000
85,1540,Narayanaghatta,3.0,Banglore,4604000
86,1110,Anekal City,3.0,Banglore,3607000
87,1645,Sahakar Nagar,3.0,Banglore,16500000
88,1345,Sarjapur,3.0,Banglore,4840000
89,1866,Koramangala,3.0,Banglore,25800000
90,3500,Hebbal,3.0,Banglore,51000000
91,1145,Electronic City Phase 1,2.0,Banglore,4809000
92,935,Budigere Cross,2.0,Banglore,5070000
93,1455,Bommanahalli,3.0,Banglore,10500000
94,1145,Varthur,2.0,Banglore,4580000
95,1635,Whitefield Hope Farm Junction,3.0,Banglore,5559000
96,1145,RR Nagar,2.0,Banglore,4723000
97,1175,Krishnarajapura,3.0,Banglore,4465000
98,1216,Varthur,2.0,Banglore,8954000
99,1005,Electronics City,2.0,Banglore,4000000
100,1200,Chikkalasandra,2.0,Banglore,5400000
101,1279,Kogilu,2.0,Banglore,8784000
102,1180,Nayandahalli,2.0,Banglore,7900000
103,1310,Electronic City Phase 2,3.0,Banglore,4781000
104,1776,Bilekahalli,3.0,Banglore,15000000
105,1125,Horamavu,2.0,Banglore,4700000
106,1195,Muneshwara Nagar,3.0,Banglore,7767000
107,1272,Thanisandra,2.0,Banglore,6487000
108,2170,Junnasandra,3.0,Banglore,14000000
109,1510,RR Nagar,3.0,Banglore,8758000
110,1170,Kothanur,2.0,Banglore,5500000
111,1215,Kadugodi Industrial Area,2.0,Banglore,4900000
112,1045,Horamavu,2.0,Banglore,4545000
113,1833,ITPL,3.0,Banglore,22000000
114,1100,RMV Extension Stage 2,2.0,Banglore,7500000
115,900,Kudlu,2.0,Banglore,3779999
116,1216,Varthur,2.0,Banglore,8954000
117,1866,Koramangala,3.0,Banglore,25800000
118,1216,Varthur,2.0,Banglore,8954000
119,1505,Electronic City Phase 2,3.0,Banglore,8218000
120,1502,Jakkur,3.0,Banglore,8656000
121,1675,Doddanekundi,3.0,Banglore,7520000
122,1805,Begur,3.0,Banglore,11000000
123,1880,Begur,3.0,Banglore,11399999
124,2180,Begur,4.0,Banglore,13000000
125,1850,Begur,3.0,Banglore,11299999
126,1350,Doddanekundi,2.0,Banglore,6736000
127,1650,Doddanekundi,3.0,Banglore,8233000
128,1355,Doddanekundi,3.0,Banglore,6761000
129,1325,Doddanekundi,2.0,Banglore,6611000
130,1260,Doddanekundi,2.0,Banglore,6287000
131,1290,Doddanekundi,2.0,Banglore,6437000
132,1225,Doddanekundi,2.0,Banglore,6112000
133,1300,Doddanekundi,2.0,Banglore,6487000
134,1152,Kengeri,2.0,Banglore,4722000
135,1119,Kengeri,2.0,Banglore,4586000
136,1118,Kengeri,2.0,Banglore,4582000
137,1656,Kengeri,3.0,Banglore,6787000
138,1629,Horamavu,3.0,Banglore,9319000
139,1237,Horamavu,2.0,Banglore,6892000
140,1275,Bommanahalli,2.0,Banglore,9277000
141,1615,Bommanahalli,3.0,Banglore,11600000
142,1515,Bommanahalli,3.0,Banglore,10900000
143,1455,Bommanahalli,3.0,Banglore,10500000
144,1360,Bommanahalli,3.0,Banglore,9859000
145,1409,Ramamurthy Nagar,3.0,Banglore,6973999
146,1139,Ramamurthy Nagar,2.0,Banglore,5705000
147,1154,Ramamurthy Nagar,2.0,Banglore,5772000
148,1353,Ramamurthy Nagar,3.0,Banglore,6720999
149,1362,Ramamurthy Nagar,3.0,Banglore,6761000
150,1133,Ramamurthy Nagar,2.0,Banglore,5677000
151,1068,Ramamurthy Nagar,2.0,Banglore,5384000
152,1540,Whitefield Hope Farm Junction,3.0,Banglore,9141000
153,1610,Whitefield Hope Farm Junction,3.0,Banglore,9522000
154,1715,Whitefield Hope Farm Junction,3.0,Banglore,10000000
155,1195,Whitefield Hope Farm Junction,2.0,Banglore,7211000
156,1425,Whitefield Hope Farm Junction,3.0,Banglore,8514000
157,1760,Whitefield Hope Farm Junction,3.0,Banglore,10300000
158,1300,Whitefield Hope Farm Junction,2.0,Banglore,7783000
159,1235,Whitefield Hope Farm Junction,2.0,Banglore,7429000
160,1305,Whitefield Hope Farm Junction,2.0,Banglore,7809999
161,660,Electronic City Phase 1,1.0,Banglore,3506000
162,1120,Electronic City Phase 1,2.0,Banglore,6250000
163,1120,Electronic City Phase 1,2.0,Banglore,6250000
164,715,Electronic City Phase 1,1.0,Banglore,3797999
165,715,Electronic City Phase 1,1.0,Banglore,3797999
166,910,Electronic City Phase 1,2.0,Banglore,5034000
167,910,Electronic City Phase 1,2.0,Banglore,5034000
168,1430,Electronic City Phase 1,3.0,Banglore,7897000
169,1430,Electronic City Phase 1,3.0,Banglore,7897000
170,965,Electronic City Phase 1,2.0,Banglore,5327000
171,965,Electronic City Phase 1,2.0,Banglore,5327000
172,1500,Electronic City Phase 1,3.0,Banglore,8269000
173,1500,Electronic City Phase 1,3.0,Banglore,8269000
174,1065,Electronic City Phase 1,2.0,Banglore,5958000
175,1065,Electronic City Phase 1,2.0,Banglore,5958000
176,1273,Yelahanka,2.0,Banglore,6900000
177,1705,Yelahanka,3.0,Banglore,9700000
178,1304,Yelahanka,2.0,Banglore,7300000
179,1700,Anjanapura,3.0,Banglore,9180000
180,1277,Carmelaram,2.0,Banglore,6986000
181,1111,Carmelaram,2.0,Banglore,6081000
182,1443,Carmelaram,3.0,Banglore,7891000
183,1109,Carmelaram,2.0,Banglore,6070000
184,1089,Carmelaram,2.0,Banglore,5961000
185,1544,Carmelaram,3.0,Banglore,8442000
186,1647,Carmelaram,3.0,Banglore,9003000
187,1082,Carmelaram,2.0,Banglore,5923000
188,1128,Carmelaram,2.0,Banglore,6174000
189,1095,Carmelaram,2.0,Banglore,5994000
190,1496,Carmelaram,3.0,Banglore,8180000
191,1401,Carmelaram,3.0,Banglore,7662000
192,1538,Horamavu,3.0,Banglore,8763000
193,1573,Horamavu,3.0,Banglore,8957000
194,1181,Horamavu,2.0,Banglore,6581000
195,1687,Horamavu,3.0,Banglore,9640000
196,1196,Horamavu,2.0,Banglore,6664000
197,1190,Horamavu,2.0,Banglore,6631000
198,1766,Horamavu,3.0,Banglore,10000000
199,1730,Horamavu,3.0,Banglore,9879000
200,1532,Horamavu,3.0,Banglore,8529000
201,1305,Jalahalli,2.0,Banglore,7252000
202,1645,Jalahalli,3.0,Banglore,9037000
203,1315,Jalahalli,2.0,Banglore,7298000
204,1950,Jalahalli,3.0,Banglore,10400000
205,1750,Jalahalli,3.0,Banglore,9520000
206,1300,Jalahalli,2.0,Banglore,7229000
207,1830,Jalahalli,3.0,Banglore,9887000
208,1935,Jalahalli,3.0,Banglore,10300000
209,1285,Jalahalli,2.0,Banglore,7159999
210,2010,Jalahalli,3.0,Banglore,10700000
211,1615,Jalahalli,3.0,Banglore,8900000
212,1720,Jalahalli,3.0,Banglore,9382000
213,1325,Jalahalli,2.0,Banglore,7344000
214,1270,Jalahalli,2.0,Banglore,7091000
215,1320,Kasavanahalli,3.0,Banglore,6279000
216,1100,Kasavanahalli,2.0,Banglore,5306000
217,1405,Kasavanahalli,3.0,Banglore,6655000
218,1075,Kasavanahalli,2.0,Banglore,5195000
219,1140,Kasavanahalli,2.0,Banglore,5483000
220,1150,Kasavanahalli,2.0,Banglore,5527000
221,1350,Kasavanahalli,3.0,Banglore,6412000
222,1265,Kasavanahalli,3.0,Banglore,6036000
223,1015,Kasavanahalli,2.0,Banglore,4930000
224,1395,Kasavanahalli,3.0,Banglore,6611000
225,1070,Kasavanahalli,2.0,Banglore,5173000
226,1270,Kasavanahalli,3.0,Banglore,6058000
227,1320,Kasavanahalli,3.0,Banglore,6279000
228,1050,Kasavanahalli,2.0,Banglore,5085000
229,1355,Kasavanahalli,3.0,Banglore,6434000
230,1090,Kasavanahalli,2.0,Banglore,5262000
231,1485,Whitefield Hope Farm Junction,3.0,Banglore,6681999
232,1450,Whitefield Hope Farm Junction,3.0,Banglore,6525000
233,1555,Whitefield Hope Farm Junction,3.0,Banglore,6997000
234,1355,Whitefield Hope Farm Junction,3.0,Banglore,6097000
235,1360,Whitefield Hope Farm Junction,3.0,Banglore,6120000
236,1365,Whitefield Hope Farm Junction,3.0,Banglore,6142000
237,1495,Whitefield Hope Farm Junction,3.0,Banglore,6727000
238,1395,Whitefield Hope Farm Junction,3.0,Banglore,6277000
239,1500,Whitefield Hope Farm Junction,3.0,Banglore,6750000
240,1435,Whitefield Hope Farm Junction,3.0,Banglore,6456999
241,1310,Bommasandra,3.0,Banglore,5240000
242,1030,Bommasandra,2.0,Banglore,4120000
243,1275,Bellandur,3.0,Banglore,7012000
244,1490,Bellandur,3.0,Banglore,8195000
245,1706,RR Nagar,3.0,Banglore,8050000
246,1258,RR Nagar,2.0,Banglore,5900000
247,1723,RR Nagar,3.0,Banglore,8100000
248,1369,RR Nagar,2.0,Banglore,6400000
249,1335,RR Nagar,2.0,Banglore,6275000
250,2000,Whitefield Hope Farm Junction,3.0,Banglore,14400000
251,1900,Whitefield Hope Farm Junction,3.0,Banglore,13700000
252,1560,Whitefield Hope Farm Junction,3.0,Banglore,11399999
253,1097,Begur,2.0,Banglore,4500000
254,1310,Bommasandra,3.0,Banglore,5240000
255,1030,Bommasandra,2.0,Banglore,4120000
256,3300,JP Nagar Phase 1,4.0,Banglore,29600000
257,1216,Varthur,2.0,Banglore,8954000
258,1195,Varthur,2.0,Banglore,8800000
259,2321,Varthur,3.0,Banglore,15400000
260,1655,Varthur,3.0,Banglore,11000000
261,1505,Uttarahalli,3.0,Banglore,5267000
262,1002,Uttarahalli,2.0,Banglore,3507000
263,1376,Uttarahalli,3.0,Banglore,4816000
264,1232,Uttarahalli,2.0,Banglore,4312000
265,1513,Uttarahalli,3.0,Banglore,5295000
266,1056,Uttarahalli,2.0,Banglore,3696000
267,1183,Uttarahalli,2.0,Banglore,4140000
268,1095,Uttarahalli,2.0,Banglore,3832000
269,965,Uttarahalli,2.0,Banglore,3377000
270,1303,Uttarahalli,3.0,Banglore,4560000
271,1433,Uttarahalli,3.0,Banglore,5015000
272,1077,Uttarahalli,2.0,Banglore,3769000
273,985,Uttarahalli,2.0,Banglore,3447000
274,1416,Uttarahalli,3.0,Banglore,4956000
275,1521,Uttarahalli,3.0,Banglore,5323000
276,1130,Uttarahalli,2.0,Banglore,3954999
277,977,Uttarahalli,2.0,Banglore,3419000
278,1529,Uttarahalli,3.0,Banglore,5351000
279,1267,Uttarahalli,3.0,Banglore,4434000
280,1725,Hosa Road,3.0,Banglore,9453000
281,1795,Sahakar Nagar,2.0,Banglore,15000000
282,1000,Sahakar Nagar,1.0,Banglore,8900000
283,1740,Sahakar Nagar,2.0,Banglore,14400000
284,1490,Sahakar Nagar,2.0,Banglore,12700000
285,1320,Sahakar Nagar,3.0,Banglore,12500000
286,2330,Sahakar Nagar,4.0,Banglore,20099999
287,2165,Sahakar Nagar,3.0,Banglore,18800000
288,1645,Sahakar Nagar,2.0,Banglore,13700000
289,1985,Sahakar Nagar,3.0,Banglore,18900000
290,1616,Avalahalli Off Sarjapur Road,3.0,Banglore,8500000
291,1541,Hosa Road,3.0,Banglore,9000000
292,1515,Varthur,3.0,Banglore,9300000
293,1690,Uttarahalli,3.0,Banglore,11000000
294,1770,Bilekahalli,3.0,Banglore,18000000
295,3012,Bilekahalli,4.0,Banglore,29300000
296,2370,Bilekahalli,3.0,Banglore,22799999
297,700,R T  Nagar,1.0,Banglore,3200000
298,700,R T  Nagar,1.0,Banglore,3200000
299,1335,JP Nagar Phase 7,2.0,Banglore,11000000
300,1690,Subramanyapura,3.0,Banglore,9800000
301,4282,JP Nagar Phase 4,4.0,Banglore,42500000
302,1500,Sahakar Nagar,3.0,Banglore,13500000
303,1880,JP Nagar Phase 7,3.0,Banglore,15600000
304,1985,Sahakar Nagar,3.0,Banglore,18900000
305,1795,Sahakar Nagar,2.0,Banglore,15400000
306,1410,Sahakar Nagar,2.0,Banglore,12300000
307,1042,JP Nagar Phase 8,2.0,Banglore,6845999
308,1408,JP Nagar Phase 8,3.0,Banglore,9173000
309,1455,JP Nagar Phase 8,3.0,Banglore,9471000
310,1105,JP Nagar Phase 8,2.0,Banglore,7247000
311,1120,Amruthahalli,2.0,Banglore,5599000
312,1345,Sahakar Nagar,1.0,Banglore,11800000
313,1107,Horamavu,2.0,Banglore,4815000
314,1122,Horamavu,2.0,Banglore,4880000
315,1161,Horamavu,2.0,Banglore,5050000
316,1062,Horamavu,2.0,Banglore,4619000
317,1100,Horamavu,2.0,Banglore,4785000
318,1143,Horamavu,2.0,Banglore,4972000
319,1089,Horamavu,2.0,Banglore,4737000
320,1116,Horamavu,2.0,Banglore,4854000
321,3033,Banashankari,4.0,Banglore,28300000
322,2378,Banashankari,3.0,Banglore,21400000
323,2522,Banashankari,3.0,Banglore,23500000
324,3205,Banashankari,4.0,Banglore,29900000
325,1376,RR Nagar,2.0,Banglore,9200000
326,1168,RR Nagar,2.0,Banglore,8000000
327,1373,RR Nagar,2.0,Banglore,9200000
328,1168,RR Nagar,2.0,Banglore,8000000
329,1168,RR Nagar,2.0,Banglore,8000000
330,1376,RR Nagar,2.0,Banglore,9300000
331,1168,RR Nagar,2.0,Banglore,7900000
332,1376,RR Nagar,2.0,Banglore,9200000
333,1373,RR Nagar,2.0,Banglore,9100000
334,1373,RR Nagar,2.0,Banglore,9000000
335,1168,RR Nagar,2.0,Banglore,7900000
336,1160,RR Nagar,2.0,Banglore,7900000
337,1168,RR Nagar,2.0,Banglore,8000000
338,1160,RR Nagar,2.0,Banglore,7800000
339,1373,RR Nagar,2.0,Banglore,9200000
340,1376,RR Nagar,2.0,Banglore,9100000
341,1373,RR Nagar,2.0,Banglore,9100000
342,1373,RR Nagar,2.0,Banglore,9000000
343,1168,RR Nagar,2.0,Banglore,7900000
344,1373,RR Nagar,2.0,Banglore,8800000
345,1140,Kengeri,3.0,Banglore,3990000
346,1149,Kengeri,3.0,Banglore,4021000
347,1168,Kengeri,3.0,Banglore,4088000
348,1275,Begur,2.0,Banglore,9060000
349,1210,Begur,2.0,Banglore,8644000
350,1240,Begur,2.0,Banglore,8836000
351,1450,Begur,3.0,Banglore,10200000
352,1192,Begur,2.0,Banglore,8528000
353,1190,Begur,2.0,Banglore,8516000
354,1235,Begur,2.0,Banglore,8804000
355,1400,Begur,3.0,Banglore,9910000
356,1606,Ramamurthy Nagar,3.0,Banglore,7634000
357,1239,Ramamurthy Nagar,2.0,Banglore,5970000
358,1615,Ramamurthy Nagar,3.0,Banglore,7675000
359,1180,Ramamurthy Nagar,2.0,Banglore,5702000
360,1292,Ramamurthy Nagar,2.0,Banglore,6210000
361,900,Attibele,2.0,Banglore,2520000
362,1180,Attibele,3.0,Banglore,3304000
363,1075,Attibele,3.0,Banglore,3010000
364,1000,Attibele,2.0,Banglore,2800000
365,880,Attibele,2.0,Banglore,2464000
366,1185,Kadugodi,2.0,Banglore,5557000
367,2540,Kadugodi,3.0,Banglore,11900000
368,1650,Kadugodi,3.0,Banglore,7738000
369,1355,Kadugodi,2.0,Banglore,6354000
370,600,Kadugodi,1.0,Banglore,2814000
371,1165,Kadugodi,2.0,Banglore,5463000
372,1590,Kadugodi,3.0,Banglore,7456999
373,1155,Kadugodi,2.0,Banglore,5416000
374,2495,Kadugodi,3.0,Banglore,11700000
375,1195,Kadugodi,2.0,Banglore,5604000
376,1530,Kadugodi,3.0,Banglore,7175000
377,1600,Kadugodi,3.0,Banglore,7504000
378,1200,Kadugodi,2.0,Banglore,5628000
379,884,Nagarbhavi,2.0,Banglore,5200000
380,884,Nagarbhavi,2.0,Banglore,5200000
381,1120,Kodigehalli,2.0,Banglore,6385000
382,1005,Banaswadi,2.0,Banglore,6531999
383,1455,Banaswadi,3.0,Banglore,9457000
384,1390,Banaswadi,3.0,Banglore,9035000
385,1025,Banaswadi,2.0,Banglore,6662000
386,1105,Banaswadi,2.0,Banglore,7181999
387,1135,Banaswadi,2.0,Banglore,7377000
388,1425,Whitefield Hope Farm Junction,3.0,Banglore,7125000
389,1125,Kodigehalli,2.0,Banglore,6389000
390,1125,Kodigehalli,2.0,Banglore,6459000
391,2021,ITPL,3.0,Banglore,11800000
392,1971,ITPL,3.0,Banglore,11500000
393,1354,ITPL,2.0,Banglore,7920000
394,1845,ITPL,3.0,Banglore,10700000
395,1823,ITPL,3.0,Banglore,10600000
396,1447,ITPL,2.0,Banglore,8464000
397,1399,ITPL,2.0,Banglore,8184000
398,1735,ITPL,3.0,Banglore,10100000
399,1398,ITPL,2.0,Banglore,8178000
400,1940,ITPL,3.0,Banglore,11299999
401,1743,ITPL,3.0,Banglore,10100000
402,1417,ITPL,2.0,Banglore,8289000
403,1343,ITPL,2.0,Banglore,7856000
404,1411,ITPL,2.0,Banglore,8254000
405,1337,ITPL,2.0,Banglore,7820999
406,2010,ITPL,3.0,Banglore,11700000
407,1797,ITPL,3.0,Banglore,10500000
408,1768,ITPL,3.0,Banglore,10300000
409,990,JP Nagar Phase 8,2.0,Banglore,4455000
410,1090,JP Nagar Phase 8,2.0,Banglore,4905000
411,1250,Vidyaranyapura,2.0,Banglore,5550000
412,1012,Vidyaranyapura,2.0,Banglore,4500000
413,1987,JP Nagar Phase 7,3.0,Banglore,20700000
414,1333,Sarjapur,3.0,Banglore,3999000
415,1174,Sarjapur,3.0,Banglore,3522000
416,958,Sarjapur,2.0,Banglore,2874000
417,1473,Attibele,3.0,Banglore,3682000
418,1371,Attibele,3.0,Banglore,3427000
419,1573,Attibele,3.0,Banglore,3932000
420,1529,Attibele,3.0,Banglore,3822000
421,995,Attibele,2.0,Banglore,2487000
422,1240,JP Nagar Phase 8,3.0,Banglore,5580000
423,1140,JP Nagar Phase 8,3.0,Banglore,5130000
424,884,Nagarbhavi,2.0,Banglore,4910000
425,884,Nagarbhavi,2.0,Banglore,4910000
426,1241,Electronic City Phase 1,3.0,Banglore,4342000
427,954,Electronic City Phase 1,2.0,Banglore,3338000
428,737,Electronic City Phase 1,2.0,Banglore,2578000
429,976,Electronic City Phase 1,2.0,Banglore,3415000
430,890,Electronic City Phase 1,2.0,Banglore,3114000
431,823,Electronic City Phase 1,2.0,Banglore,2879000
432,1282,Electronic City Phase 1,3.0,Banglore,4485000
433,893,Electronic City Phase 1,2.0,Banglore,3124000
434,1347,Electronic City Phase 1,3.0,Banglore,4713000
435,1291,Electronic City Phase 1,2.0,Banglore,4517000
436,1353,Electronic City Phase 1,3.0,Banglore,4734000
437,903,Electronic City Phase 1,2.0,Banglore,3159000
438,1206,Electronic City Phase 1,3.0,Banglore,4219000
439,1353,Electronic City Phase 1,3.0,Banglore,4734000
440,743,Electronic City Phase 1,2.0,Banglore,2578000
441,1042,Electronic City Phase 1,2.0,Banglore,3645000
442,1241,Electronic City Phase 1,2.0,Banglore,4342000
443,644,Electronic City Phase 1,1.0,Banglore,2253000
444,827,Electronic City Phase 1,2.0,Banglore,2893000
445,747,Electronic City Phase 1,2.0,Banglore,2614000
446,2000,Nagarbhavi,3.0,Banglore,10500000
447,1352,Electronic City Phase 1,3.0,Banglore,4867000
448,1352,Electronic City Phase 1,3.0,Banglore,4735000
449,737,Electronic City Phase 1,2.0,Banglore,2653000
450,795,Electronic City Phase 1,2.0,Banglore,2862000
451,954,Electronic City Phase 1,2.0,Banglore,3339000
452,823,Electronic City Phase 1,2.0,Banglore,2962000
453,823,Electronic City Phase 1,2.0,Banglore,2880000
454,644,Electronic City Phase 1,1.0,Banglore,2318000
455,644,Electronic City Phase 1,2.0,Banglore,2254000
456,644,Electronic City Phase 1,1.0,Banglore,2254000
457,826,Electronic City Phase 1,2.0,Banglore,2973000
458,1353,Electronic City Phase 1,3.0,Banglore,4870000
459,795,Electronic City Phase 1,2.0,Banglore,2781000
460,1347,Electronic City Phase 1,3.0,Banglore,4713000
461,747,Electronic City Phase 1,2.0,Banglore,2613000
462,1304,Electronic City Phase 1,3.0,Banglore,4562000
463,1367,Electronic City Phase 1,2.0,Banglore,4783000
464,1241,Electronic City Phase 1,2.0,Banglore,4342000
465,823,Electronic City Phase 1,2.0,Banglore,2879000
466,1370,Electronic City Phase 2,3.0,Banglore,5045000
467,1175,Electronic City Phase 2,2.0,Banglore,4362000
468,1500,Electronic City Phase 2,3.0,Banglore,5500000
469,1233,Electronic City Phase 2,2.0,Banglore,4565000
470,1100,Electronic City Phase 2,2.0,Banglore,4000000
471,1300,Electronic City Phase 2,3.0,Banglore,4800000
472,1210,Electronic City Phase 2,2.0,Banglore,4485000
473,1075,Electronic City Phase 2,2.0,Banglore,4011999
474,1220,Electronic City Phase 2,2.0,Banglore,4520000
475,1155,Electronic City Phase 2,2.0,Banglore,4292000
476,1280,Electronic City Phase 2,3.0,Banglore,4730000
477,1350,Electronic City Phase 2,3.0,Banglore,4975000
478,1330,Electronic City Phase 2,3.0,Banglore,4905000
479,1135,Electronic City Phase 2,2.0,Banglore,4222000
480,1070,Electronic City Phase 2,2.0,Banglore,3995000
481,1005,Nagarbhavi,2.0,Banglore,4700000
482,1193,Sarjapur,3.0,Banglore,3579000
483,1124,Sarjapur,2.0,Banglore,3372000
484,974,Sarjapur,2.0,Banglore,2922000
485,948,Sarjapur,2.0,Banglore,2844000
486,967,Sarjapur,2.0,Banglore,2901000
487,940,Sarjapur,2.0,Banglore,2820000
488,1486,Sarjapur,3.0,Banglore,4458000
489,1161,Sarjapur,3.0,Banglore,3483000
490,1233,Sarjapur,3.0,Banglore,3699000
491,1302,Sarjapur,3.0,Banglore,3906000
492,963,Sarjapur,2.0,Banglore,2889000
493,1143,Sarjapur,2.0,Banglore,3429000
494,1388,Sarjapur,3.0,Banglore,4164000
495,1128,Sarjapur,2.0,Banglore,3384000
496,1174,Attibele,2.0,Banglore,2935000
497,1639,Attibele,3.0,Banglore,4097000
498,1281,Attibele,2.0,Banglore,3202000
499,1147,Attibele,2.0,Banglore,2867000
500,1365,Attibele,3.0,Banglore,3411999
501,870,Bommasandra,2.0,Banglore,2436000
502,1000,Bommasandra,2.0,Banglore,2800000
503,1075,Chandapura,3.0,Banglore,3010000
504,900,Chandapura,2.0,Banglore,2520000
505,1085,Chandapura,2.0,Banglore,3038000
506,1075,Attibele,3.0,Banglore,3010000
507,710,Ramamurthy Nagar,1.0,Banglore,3177000
508,1195,Bellandur,2.0,Banglore,7200000
509,2360,Thanisandra,3.0,Banglore,20400000
510,2307,Thanisandra,3.0,Banglore,17600000
511,2127,JP Nagar Phase 7,3.0,Banglore,20200000
512,1040,Krishnarajapura,2.0,Banglore,4002000
513,1187,Krishnarajapura,2.0,Banglore,4568000
514,1054,Krishnarajapura,2.0,Banglore,4056000
515,1118,Krishnarajapura,2.0,Banglore,4303000
516,1117,Krishnarajapura,2.0,Banglore,4299000
517,1180,Krishnarajapura,2.0,Banglore,4541000
518,1094,Krishnarajapura,2.0,Banglore,4210000
519,1090,Krishnarajapura,2.0,Banglore,4195000
520,1098,Krishnarajapura,2.0,Banglore,4226000
521,1205,Krishnarajapura,2.0,Banglore,4638000
522,1221,Krishnarajapura,3.0,Banglore,4699000
523,1150,Krishnarajapura,2.0,Banglore,4426000
524,1020,Krishnarajapura,2.0,Banglore,3925000
525,1129,Krishnarajapura,2.0,Banglore,4345000
526,1062,Krishnarajapura,2.0,Banglore,4086999
527,1059,Krishnarajapura,2.0,Banglore,4076000
528,1058,Krishnarajapura,2.0,Banglore,4072000
529,1199,Krishnarajapura,2.0,Banglore,4614000
